address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
4850F6,,,2025-05-24T21:56:55.52890278+02:00,-197.47696068149315,zi-5067,,23675.0,52.12473,6.43196,31.704817333552047
4D23FD,,,2025-05-24T21:56:55.853022092+02:00,-76.03190119943075,zi-5067,,37000.0,51.98265,6.85861,28.504849882626548
485A81,,,2025-05-24T21:56:55.855443923+02:00,-87.85698606257786,zi-5067,,20775.0,52.34198,6.38596,34.08588898839388
44CE6C,,,2025-05-24T21:56:55.855888263+02:00,-77.11420102678883,zi-5067,,37225.0,52.09321,5.51694,92.88988371402831
4850F6,,,2025-05-24T21:56:56.508763884+02:00,-109.72032628460416,zi-5067,,23700.0,52.12399,6.43509,31.54290874844441
4079F7,,,2025-05-24T21:56:56.725967104+02:00,-271.9187378611485,zi-5067,,37975.0,52.22054,6.567,19.924989764143984
485A81,,,2025-05-24T21:56:56.839056152+02:00,-91.14768236219724,zi-5067,,20750.0,52.34245,6.38361,34.25382608585679
44CE6C,,,2025-05-24T21:56:56.944863734+02:00,-69.95319864023374,zi-5067,,37275.0,52.09479,5.51918,92.70731857674188
4850F6,,,2025-05-24T21:56:57.381186939+02:00,-278.44245365963866,zi-5067,,23700.0,52.12331,6.43799,31.39337583356269
4079F7,,,2025-05-24T21:56:57.604066242+02:00,-253.27919377635425,zi-5067,,37975.0,52.22026,6.56387,20.140300727998117
44CE6C,,,2025-05-24T21:56:57.928440361+02:00,-70.71456709900727,zi-5067,,37300.0,52.09619,5.52126,92.53935381616085
4850F6,,,2025-05-24T21:56:58.367717592+02:00,-220.29888787735624,zi-5067,,23725.0,52.12248,6.44165,31.204363497908442
4079F7,,,2025-05-24T21:56:58.588052992+02:00,-243.16013242305985,zi-5067,,38000.0,52.21997,6.56104,20.335413556036784
4079F7,,,2025-05-24T21:56:58.602514242+02:00,-32.33419242844949,zi-5110,,38000.0,52.21997,6.56104,20.335413556036784
485A81,,,2025-05-24T21:56:58.911117652+02:00,-99.91621490028533,zi-5067,,20700.0,52.34343,6.37905,34.582207139368414
4850F6,,,2025-05-24T21:56:59.460062914+02:00,-175.25624097303924,zi-5067,,23750.0,52.12161,6.44536,31.015263567910914
4079F7,,,2025-05-24T21:56:59.680115973+02:00,-247.0562688943553,zi-5067,,37975.0,52.21965,6.55766,20.568143874503043
485A81,,,2025-05-24T21:56:59.896969073+02:00,-105.0542716884944,zi-5067,,20675.0,52.34389,6.37678,34.74464513570279
44CE6C,,,2025-05-24T21:57:00.004015626+02:00,-75.74628703771559,zi-5067,,37350.0,52.09931,5.52581,92.17143666654435
4850F6,,,2025-05-24T21:57:00.440332522+02:00,-272.59310336103516,zi-5067,,23775.0,52.12082,6.44858,30.85378213489759
4079F7,,,2025-05-24T21:57:00.677620194+02:00,-30.17200689380804,zi-5110,,37975.0,52.21937,6.5546,20.778731700485242
4079F7,,,2025-05-24T21:57:00.767607746+02:00,-211.76472794117535,zi-5067,,37975.0,52.21937,6.5546,20.778731700485242
4079F7,,,2025-05-24T21:57:01.753054964+02:00,-310.9270010790314,zi-5067,,37975.0,52.21907,6.55136,21.00175499925799
485A81,,,2025-05-24T21:57:01.861599499+02:00,-96.81838668352204,zi-5067,,20625.0,52.34486,6.37222,35.072647034444635
